region,gender,age,occupation,monthly_txn_count,avg_txn_amount_usd,wallet_balance_trend,airtime_recharge_freq,airtime_avg_amount_usd,has_savings_account,savings_consistency_score,monthly_savings_usd,has_prior_loan,prior_loan_repayment_rate,days_late_avg,network_diversity_score,bill_payment_regularity,merchant_payment_count,loan_amount_requested_usd,loan_duration_weeks,repaid
East Africa,Male,37,Farmer,10,24.5,-0.441,14,1.09,0,4.0,0.0,1,0.978,28.9,66.0,55.0,4,167.76,4,1
West Africa,Female,41,Farmer,3,38.4,-0.04,11,4.19,1,37.0,19.99,1,0.747,9.6,63.0,42.0,1,25.61,4,1
West Africa,Female,36,Farmer,33,98.67,-0.953,18,2.82,1,31.0,57.56,1,0.854,13.8,61.0,87.0,12,897.48,24,0
Central Africa,Female,27,Trader,17,20.51,-0.993,7,4.81,0,4.0,0.0,0,,,58.0,41.0,7,230.78,12,0
Southern Africa,Male,57,Farmer,8,26.88,-0.539,10,1.36,0,10.0,0.0,0,,,60.0,98.0,4,483.98,4,1
East Africa,Male,44,Farmer,8,15.31,-0.482,14,3.48,0,8.0,0.0,0,,,39.0,38.0,1,84.11,24,1
West Africa,Female,41,Self-employed,18,84.01,-0.433,19,2.46,0,5.0,0.0,1,0.817,15.0,91.0,40.0,7,572.01,4,0
East Africa,Male,35,Trader,39,86.18,0.553,27,7.95,1,70.0,65.56,1,0.847,7.1,40.0,51.0,8,779.56,12,1
Central Africa,Male,54,Trader,13,29.03,-0.146,13,3.1,0,1.0,0.0,0,,,82.0,53.0,5,183.44,8,0
Southern Africa,Male,34,Salaried,23,54.37,0.864,10,2.35,1,77.0,21.63,0,,,42.0,84.0,10,1734.3,24,1
East Africa,Female,29,Trader,9,6.79,-0.183,11,3.61,0,6.0,0.0,0,,,45.0,90.0,0,181.61,24,1
East Africa,Female,21,Trader,10,33.36,-0.073,15,3.21,0,1.0,0.0,1,0.731,9.5,27.0,21.0,9,334.43,8,1
West Africa,Male,59,Salaried,27,92.61,1.284,13,2.2,0,4.0,0.0,0,,,58.0,89.0,12,1825.52,12,0
Southern Africa,Female,21,Farmer,38,93.75,1.06,16,6.12,0,11.0,0.0,1,0.465,13.7,73.0,91.0,8,109.18,12,1
Central Africa,Female,57,Informal worker,17,39.53,0.074,16,4.07,1,66.0,31.47,1,0.894,0.7,38.0,39.0,2,295.39,4,1
East Africa,Male,35,Trader,20,57.8,-0.471,10,3.12,0,8.0,0.0,0,,,65.0,84.0,4,226.95,24,1
East Africa,Male,18,Trader,9,50.83,-0.25,13,2.19,0,4.0,0.0,1,0.8,13.6,55.0,18.0,3,86.43,24,1
East Africa,Male,61,Trader,18,71.72,-0.949,9,3.89,1,70.0,29.92,0,,,81.0,8.0,6,356.5,4,1
East Africa,Female,52,Salaried,35,74.43,1.181,22,3.4,1,58.0,54.28,0,,,54.0,73.0,12,136.77,8,1
Central Africa,Female,51,Farmer,9,72.78,1.203,9,2.18,0,5.0,0.0,0,,,33.0,70.0,7,70.02,12,1
Southern Africa,Female,43,Informal worker,3,28.89,0.398,9,3.28,0,8.0,0.0,0,,,59.0,71.0,5,589.97,8,0
East Africa,Female,53,Self-employed,16,63.47,0.61,14,1.64,0,2.0,0.0,0,,,52.0,26.0,8,103.36,12,1
East Africa,Male,24,Self-employed,5,27.67,-0.988,15,1.87,1,70.0,10.76,1,0.469,0.5,43.0,43.0,1,283.37,24,1
East Africa,Female,29,Trader,25,17.74,0.25,23,1.72,0,14.0,0.0,1,0.817,23.1,54.0,41.0,6,176.85,4,1
West Africa,Female,43,Informal worker,10,30.57,-0.342,10,2.85,1,62.0,14.53,1,0.572,2.1,35.0,56.0,3,634.42,12,1
East Africa,Female,52,Informal worker,20,134.29,-0.176,20,2.47,1,49.0,40.97,0,,,14.0,62.0,4,575.45,12,1
Southern Africa,Male,45,Salaried,24,29.28,0.169,19,2.92,1,81.0,33.75,0,,,37.0,63.0,6,224.37,8,1
Southern Africa,Male,37,Self-employed,8,29.51,-1.073,10,3.38,0,1.0,0.0,0,,,19.0,72.0,2,302.62,4,1
West Africa,Male,49,Informal worker,19,82.01,0.688,17,2.91,0,0.0,0.0,1,0.599,1.7,75.0,92.0,6,375.43,24,1
Southern Africa,Male,20,Informal worker,11,75.85,-0.325,13,1.38,1,69.0,17.47,1,0.862,53.3,56.0,70.0,7,669.25,52,0
Southern Africa,Female,41,Trader,34,80.88,-0.042,23,4.97,1,95.0,37.91,0,,,59.0,83.0,8,430.45,4,1
West Africa,Female,36,Farmer,24,49.39,0.509,13,2.72,1,69.0,24.56,1,0.458,3.6,60.0,83.0,9,228.19,4,1
East Africa,Female,41,Informal worker,16,95.56,0.669,20,4.2,0,4.0,0.0,0,,,63.0,77.0,4,714.09,12,1
East Africa,Male,24,Informal worker,3,28.72,0.298,6,2.16,1,52.0,17.51,0,,,41.0,88.0,1,142.19,8,1
Southern Africa,Male,60,Informal worker,16,23.8,-0.31,11,4.02,0,3.0,0.0,0,,,53.0,70.0,7,229.31,12,0
West Africa,Male,58,Farmer,14,45.88,0.115,14,4.53,1,57.0,45.83,0,,,90.0,85.0,4,302.34,12,1
West Africa,Prefer not to say,62,Farmer,15,18.87,0.827,17,2.05,1,77.0,23.26,0,,,82.0,67.0,7,537.33,24,1
East Africa,Female,57,Self-employed,12,39.52,-0.789,13,2.37,1,63.0,18.27,1,0.554,15.9,25.0,80.0,4,280.29,8,0
West Africa,Male,49,Farmer,6,24.59,-0.327,11,4.14,1,62.0,18.94,1,0.507,59.4,48.0,84.0,1,239.78,4,0
East Africa,Female,31,Salaried,11,32.1,0.439,23,2.77,0,2.0,0.0,0,,,80.0,35.0,5,76.04,4,1
Southern Africa,Female,23,Informal worker,10,199.0,-0.519,19,2.33,1,72.0,21.94,0,,,33.0,31.0,9,555.01,52,1
West Africa,Male,46,Farmer,18,28.87,0.912,14,2.29,0,3.0,0.0,0,,,71.0,75.0,9,650.83,24,1
East Africa,Male,62,Farmer,21,85.38,0.318,24,4.89,1,72.0,69.41,0,,,2.0,87.0,7,1657.16,4,1
Central Africa,Male,35,Farmer,5,20.56,0.317,2,1.38,0,1.0,0.0,0,,,40.0,64.0,3,59.29,8,1
East Africa,Male,64,Salaried,12,39.72,-0.413,10,1.9,0,7.0,0.0,1,0.752,7.0,64.0,99.0,8,200.66,24,1
East Africa,Female,25,Trader,22,45.84,-1.22,16,4.07,0,10.0,0.0,1,0.734,5.4,47.0,91.0,4,235.1,4,1
East Africa,Male,31,Self-employed,22,36.12,-0.112,15,2.9,0,9.0,0.0,0,,,30.0,62.0,4,1098.33,24,1
West Africa,Female,48,Salaried,8,47.05,0.107,8,2.2,1,30.0,10.55,1,0.915,8.3,85.0,65.0,2,242.54,4,1
West Africa,Female,41,Farmer,17,114.71,-0.29,10,3.2,1,88.0,24.41,0,,,47.0,76.0,8,137.05,4,1
Southern Africa,Female,53,Trader,17,172.84,0.301,12,4.85,1,26.0,26.9,0,,,15.0,21.0,11,353.05,12,1
East Africa,Female,34,Trader,12,63.06,-0.05,12,3.98,0,12.0,0.0,1,0.826,18.6,33.0,66.0,5,332.82,8,1
West Africa,Male,54,Trader,19,45.24,-0.042,27,2.68,1,81.0,8.27,0,,,63.0,59.0,13,418.18,8,1
West Africa,Female,32,Trader,9,38.13,1.361,8,2.89,0,3.0,0.0,0,,,64.0,19.0,3,106.44,4,1
Southern Africa,Male,25,Trader,13,42.33,-0.183,9,5.23,1,63.0,8.54,1,0.557,20.9,71.0,71.0,6,257.96,12,1
West Africa,Female,44,Self-employed,13,50.01,-0.503,14,1.56,1,46.0,30.47,0,,,49.0,64.0,0,442.2,4,1
Southern Africa,Male,42,Informal worker,18,21.87,1.694,13,3.13,1,52.0,15.66,1,0.794,8.4,86.0,44.0,2,1168.83,24,1
East Africa,Male,44,Salaried,11,17.41,-0.51,9,1.44,1,68.0,41.62,1,0.887,13.4,11.0,31.0,4,800.55,8,0
East Africa,Male,19,Informal worker,22,126.65,0.387,15,2.53,0,5.0,0.0,1,0.804,25.8,42.0,91.0,6,1860.65,4,1
West Africa,Female,37,Informal worker,9,33.56,-0.522,11,3.64,1,46.0,49.13,0,,,62.0,41.0,3,373.94,12,0
West Africa,Female,22,Salaried,23,41.57,-0.572,14,2.33,0,7.0,0.0,1,0.508,44.6,40.0,31.0,4,406.91,8,0
East Africa,Female,55,Trader,17,53.37,0.628,16,5.47,1,82.0,30.47,1,0.606,17.7,28.0,37.0,5,125.52,12,1
Southern Africa,Male,21,Informal worker,8,12.88,-0.249,11,1.28,0,7.0,0.0,0,,,57.0,70.0,1,200.61,12,1
West Africa,Female,61,Salaried,10,79.12,-1.012,3,1.38,1,85.0,12.32,0,,,74.0,21.0,6,256.51,24,1
East Africa,Female,20,Self-employed,25,32.69,1.715,17,1.91,1,73.0,41.84,1,0.785,0.3,51.0,71.0,8,668.46,8,1
East Africa,Male,46,Farmer,28,24.86,0.483,16,4.54,1,89.0,41.51,1,0.903,17.7,56.0,61.0,5,217.34,24,0
West Africa,Male,33,Salaried,10,69.94,0.557,15,3.31,0,6.0,0.0,0,,,53.0,66.0,1,177.99,12,1
East Africa,Male,23,Farmer,36,447.39,1.603,13,14.34,0,2.0,0.0,1,0.735,0.8,72.0,74.0,8,166.08,4,1
West Africa,Female,34,Trader,16,33.86,-0.49,22,4.55,1,68.0,28.06,0,,,65.0,43.0,6,276.63,12,0
East Africa,Male,19,Trader,28,52.54,0.383,11,2.41,1,63.0,27.66,0,,,38.0,76.0,5,203.16,4,1
West Africa,Male,50,Farmer,17,245.98,0.552,10,2.42,0,9.0,0.0,0,,,14.0,23.0,3,366.24,4,1
East Africa,Prefer not to say,58,Trader,21,19.82,0.316,24,3.31,0,6.0,0.0,0,,,26.0,93.0,8,364.71,12,0
West Africa,Female,33,Trader,16,50.51,0.71,19,4.04,1,50.0,42.86,1,0.643,2.8,52.0,38.0,7,154.69,12,1
East Africa,Male,38,Trader,23,97.08,-0.117,13,3.91,0,4.0,0.0,0,,,34.0,60.0,2,305.26,4,1
East Africa,Female,24,Salaried,11,21.12,0.679,11,2.12,0,1.0,0.0,1,0.816,12.1,60.0,66.0,2,192.31,8,1
Central Africa,Male,40,Salaried,24,141.34,0.115,18,6.9,0,13.0,0.0,0,,,82.0,52.0,6,624.66,4,0
East Africa,Female,62,Salaried,16,62.76,0.954,15,6.47,1,56.0,10.19,0,,,45.0,60.0,2,689.78,12,1
Southern Africa,Male,43,Informal worker,24,32.29,0.654,14,3.81,0,19.0,0.0,0,,,50.0,56.0,4,240.19,4,1
West Africa,Male,59,Self-employed,23,36.16,0.944,23,5.15,0,16.0,0.0,0,,,71.0,58.0,6,80.09,24,1
East Africa,Prefer not to say,54,Farmer,27,49.23,-0.182,29,6.98,1,64.0,24.7,1,0.935,0.6,54.0,53.0,14,200.46,8,1
West Africa,Male,23,Farmer,7,16.81,0.488,6,3.21,0,4.0,0.0,1,0.873,7.4,77.0,93.0,1,233.76,24,1
East Africa,Female,20,Farmer,13,66.21,-0.121,21,5.17,0,8.0,0.0,0,,,46.0,97.0,9,209.99,52,1
Southern Africa,Male,35,Trader,31,234.07,1.645,19,4.86,1,67.0,97.38,0,,,57.0,78.0,3,701.21,12,1
Southern Africa,Male,62,Informal worker,14,31.01,0.221,10,2.59,1,75.0,11.55,0,,,35.0,66.0,5,369.36,12,1
East Africa,Female,25,Farmer,18,70.64,0.723,16,3.52,1,31.0,21.97,1,0.892,8.9,32.0,80.0,3,451.91,24,1
East Africa,Female,20,Self-employed,18,185.81,0.096,17,1.51,1,61.0,35.31,0,,,45.0,74.0,10,371.38,4,1
West Africa,Female,63,Trader,10,68.91,-0.329,6,2.43,0,7.0,0.0,0,,,51.0,47.0,1,1161.69,8,1
West Africa,Female,27,Trader,29,77.81,-0.353,31,3.22,1,75.0,18.53,0,,,54.0,78.0,11,237.72,12,1
Southern Africa,Male,34,Farmer,16,46.61,0.724,13,2.36,0,4.0,0.0,0,,,76.0,65.0,7,250.85,4,1
West Africa,Male,54,Trader,10,13.39,0.075,10,1.28,0,7.0,0.0,1,0.895,7.6,61.0,49.0,1,465.15,12,1
West Africa,Male,22,Self-employed,5,24.11,0.677,10,2.84,1,71.0,13.48,1,0.61,8.2,25.0,86.0,2,388.04,8,1
Central Africa,Female,26,Informal worker,24,303.81,0.496,26,7.6,1,46.0,12.86,1,0.567,6.0,36.0,73.0,4,247.6,12,1
Central Africa,Male,52,Farmer,29,40.37,1.615,5,1.27,1,61.0,44.55,0,,,85.0,78.0,7,215.42,4,1
East Africa,Male,18,Informal worker,24,112.6,-0.276,16,3.4,0,3.0,0.0,0,,,54.0,40.0,10,573.76,8,1
East Africa,Female,51,Farmer,16,34.29,0.364,20,3.56,1,20.0,25.26,0,,,43.0,83.0,8,140.38,8,0
Southern Africa,Male,43,Trader,21,94.97,0.727,17,6.21,0,4.0,0.0,0,,,37.0,78.0,4,792.43,4,1
West Africa,Female,29,Farmer,17,86.11,0.389,13,2.43,1,45.0,19.42,0,,,42.0,52.0,2,303.59,4,1
East Africa,Male,46,Trader,10,22.3,-0.465,8,1.29,0,7.0,0.0,0,,,64.0,87.0,2,170.43,12,1
East Africa,Male,33,Informal worker,20,31.31,-0.747,12,1.87,1,65.0,17.11,0,,,67.0,66.0,3,111.99,8,1
Central Africa,Male,62,Salaried,14,49.81,-0.149,11,5.57,0,17.0,0.0,0,,,54.0,65.0,3,139.47,8,0
Central Africa,Male,37,Trader,6,47.23,-0.561,10,5.29,1,45.0,13.65,0,,,40.0,24.0,4,410.14,24,1
Southern Africa,Female,53,Informal worker,19,92.22,1.387,19,3.67,1,50.0,60.08,1,0.789,7.0,46.0,64.0,5,294.1,4,1
West Africa,Male,30,Informal worker,36,80.33,1.059,22,8.17,1,92.0,45.15,0,,,78.0,77.0,9,860.26,12,1
East Africa,Female,57,Farmer,27,38.69,0.704,21,5.37,1,44.0,36.21,1,0.796,2.6,48.0,61.0,10,231.28,24,1
West Africa,Female,31,Farmer,15,59.93,1.297,19,2.42,1,59.0,25.34,0,,,63.0,64.0,11,326.17,4,1
Central Africa,Male,41,Farmer,12,25.11,0.583,12,2.42,0,5.0,0.0,1,0.855,6.3,51.0,61.0,10,133.11,4,1
West Africa,Female,55,Farmer,26,80.65,-0.842,14,2.48,0,11.0,0.0,0,,,61.0,50.0,6,659.91,12,1
West Africa,Female,61,Farmer,8,16.41,0.382,9,2.01,0,5.0,0.0,1,0.841,2.5,37.0,38.0,3,646.66,12,1
Southern Africa,Male,53,Trader,20,28.93,0.366,11,4.38,0,26.0,0.0,0,,,69.0,83.0,4,320.52,8,1
East Africa,Female,49,Farmer,26,79.46,1.166,17,5.16,1,72.0,125.44,1,0.696,0.2,76.0,58.0,18,380.3,24,1
Southern Africa,Male,50,Salaried,15,141.46,0.394,20,4.23,0,2.0,0.0,1,0.906,0.4,7.0,81.0,7,414.76,12,1
West Africa,Female,37,Farmer,13,21.91,-0.249,11,1.75,0,1.0,0.0,1,0.804,78.1,35.0,92.0,2,367.59,12,0
Southern Africa,Male,50,Self-employed,7,24.41,-0.749,13,2.88,1,66.0,39.41,1,0.788,6.7,54.0,60.0,7,212.91,24,1
West Africa,Female,45,Trader,14,29.55,0.442,12,4.46,0,5.0,0.0,1,0.549,4.0,9.0,68.0,3,82.05,4,0
West Africa,Female,42,Farmer,18,73.71,-0.006,12,2.9,1,78.0,29.45,1,0.965,0.6,60.0,56.0,8,663.83,24,1
East Africa,Prefer not to say,32,Informal worker,21,33.67,-0.096,8,1.45,1,92.0,14.96,0,,,81.0,49.0,2,108.28,12,1
West Africa,Prefer not to say,34,Farmer,27,23.33,1.971,12,1.54,0,13.0,0.0,1,0.897,21.9,24.0,73.0,5,271.44,8,0
East Africa,Male,23,Self-employed,27,36.05,0.022,14,1.9,0,7.0,0.0,0,,,36.0,61.0,4,216.99,12,1
West Africa,Female,51,Farmer,9,44.21,-0.527,13,3.17,0,4.0,0.0,0,,,73.0,61.0,2,175.66,8,0
West Africa,Male,19,Farmer,17,20.24,0.585,9,2.52,0,1.0,0.0,1,0.519,1.1,58.0,64.0,4,466.53,12,1
Southern Africa,Male,23,Informal worker,24,90.01,-0.09,12,3.3,0,1.0,0.0,1,0.493,14.3,53.0,41.0,3,189.51,8,1
West Africa,Male,31,Informal worker,5,35.45,0.482,5,1.43,0,11.0,0.0,1,0.614,0.2,35.0,41.0,2,155.31,8,1
Southern Africa,Female,24,Salaried,21,71.87,0.416,11,5.88,0,1.0,0.0,0,,,57.0,79.0,5,214.81,24,1
Southern Africa,Female,53,Salaried,22,82.51,0.508,17,6.41,0,12.0,0.0,1,0.857,5.8,34.0,50.0,6,188.5,8,1
West Africa,Male,23,Trader,30,86.09,1.237,14,5.76,1,43.0,34.72,0,,,60.0,68.0,11,505.95,4,1
Southern Africa,Prefer not to say,39,Salaried,15,33.58,0.473,12,3.68,0,9.0,0.0,1,0.996,42.2,58.0,48.0,2,249.1,8,1
West Africa,Female,52,Informal worker,10,23.82,-0.706,6,3.1,1,71.0,16.46,0,,,2.0,31.0,1,81.61,8,1
East Africa,Male,45,Informal worker,9,25.56,0.03,11,1.22,0,5.0,0.0,0,,,85.0,81.0,5,442.88,8,0
West Africa,Male,45,Farmer,12,18.77,-0.68,16,2.94,1,27.0,20.31,0,,,64.0,81.0,3,616.4,12,1
Southern Africa,Female,34,Self-employed,11,113.41,-0.665,14,1.95,0,2.0,0.0,1,0.961,9.4,24.0,65.0,7,159.42,12,0
East Africa,Female,39,Informal worker,14,16.98,-0.53,9,7.12,1,30.0,16.96,0,,,56.0,66.0,4,95.28,12,1
East Africa,Male,54,Trader,13,35.28,-0.078,18,1.73,0,8.0,0.0,1,0.775,31.8,84.0,84.0,1,107.75,4,0
Central Africa,Male,40,Farmer,22,45.22,0.283,10,3.76,0,17.0,0.0,0,,,35.0,58.0,4,482.23,12,1
West Africa,Male,50,Informal worker,17,64.32,-1.485,12,4.84,0,7.0,0.0,1,0.681,13.4,68.0,49.0,7,197.98,4,0
Central Africa,Male,56,Self-employed,14,30.38,-0.351,10,2.63,1,86.0,16.6,0,,,14.0,79.0,4,144.35,8,1
Southern Africa,Male,29,Farmer,10,20.99,-1.164,5,2.33,0,3.0,0.0,0,,,17.0,53.0,3,135.23,8,0
Central Africa,Male,23,Salaried,12,74.21,0.299,6,2.31,0,3.0,0.0,0,,,69.0,82.0,3,182.56,24,1
Central Africa,Male,39,Farmer,19,312.19,-0.29,7,1.84,0,9.0,0.0,0,,,40.0,51.0,4,129.94,12,1
Central Africa,Female,36,Farmer,5,91.72,-0.515,6,1.67,0,1.0,0.0,0,,,19.0,8.0,3,175.57,12,1
West Africa,Male,25,Informal worker,15,47.21,-0.631,11,5.57,1,58.0,29.08,0,,,25.0,81.0,8,202.52,8,0
Southern Africa,Male,53,Trader,12,16.83,0.384,14,4.51,0,8.0,0.0,0,,,51.0,29.0,6,318.66,8,1
Southern Africa,Male,47,Trader,8,9.67,-1.213,11,2.24,0,3.0,0.0,1,0.45,15.1,36.0,61.0,3,68.77,4,1
East Africa,Prefer not to say,48,Informal worker,38,153.78,0.642,18,12.11,0,1.0,0.0,1,0.931,4.5,33.0,61.0,16,317.85,8,1
West Africa,Male,51,Trader,12,48.83,-0.268,19,9.49,0,13.0,0.0,0,,,28.0,71.0,5,585.51,24,0
Central Africa,Male,38,Trader,12,55.22,1.137,14,4.11,1,43.0,15.98,0,,,10.0,59.0,7,1278.31,12,1
West Africa,Male,41,Trader,35,118.4,-0.061,22,4.41,1,63.0,33.7,1,0.889,1.9,90.0,78.0,9,1886.22,12,1
East Africa,Female,28,Trader,21,46.29,1.447,20,4.02,1,92.0,66.96,1,0.504,11.7,15.0,53.0,6,633.92,8,1
East Africa,Male,52,Trader,27,67.08,0.261,23,4.13,1,35.0,26.57,1,0.79,19.6,70.0,69.0,8,147.5,52,1
West Africa,Male,62,Farmer,25,97.31,0.377,11,1.85,0,7.0,0.0,1,0.819,2.0,56.0,85.0,8,438.94,12,1
Southern Africa,Female,59,Self-employed,2,75.28,0.412,10,2.01,1,33.0,22.43,1,0.26,45.7,15.0,35.0,2,342.86,8,0
West Africa,Female,37,Informal worker,18,123.17,0.559,22,1.75,0,8.0,0.0,0,,,56.0,62.0,3,1167.16,8,1
Southern Africa,Male,20,Informal worker,12,44.26,-0.201,12,1.43,0,1.0,0.0,1,0.964,5.5,26.0,64.0,3,167.27,4,0
Southern Africa,Male,59,Trader,13,37.22,0.433,12,3.23,0,8.0,0.0,1,0.902,2.2,15.0,21.0,2,106.35,4,1
West Africa,Female,45,Trader,13,34.72,-1.338,12,2.44,1,55.0,14.32,1,0.696,8.9,31.0,85.0,0,302.26,8,1
Southern Africa,Female,54,Salaried,29,187.2,0.228,22,3.21,1,59.0,28.0,0,,,34.0,87.0,16,386.34,4,1
West Africa,Female,32,Informal worker,30,281.18,1.251,14,1.86,1,28.0,75.22,1,0.837,19.8,80.0,48.0,14,608.64,4,1
Southern Africa,Female,58,Salaried,26,117.12,-0.45,22,3.31,0,2.0,0.0,1,0.521,13.9,88.0,77.0,6,421.95,8,1
Central Africa,Female,57,Farmer,17,29.73,-0.055,12,2.68,1,58.0,15.36,1,0.923,2.9,60.0,76.0,2,518.47,52,0
West Africa,Prefer not to say,18,Informal worker,15,98.71,-0.148,18,10.58,0,7.0,0.0,1,0.706,2.2,51.0,45.0,5,276.13,12,0
Southern Africa,Male,44,Farmer,11,31.72,-0.784,13,2.81,1,68.0,19.8,0,,,12.0,29.0,7,67.15,12,1
East Africa,Prefer not to say,40,Trader,16,92.53,0.711,9,3.69,1,63.0,57.18,1,0.767,0.1,30.0,94.0,4,369.85,4,0
East Africa,Female,48,Salaried,10,83.39,0.315,13,1.99,0,2.0,0.0,1,0.771,5.6,31.0,89.0,3,206.12,8,0
Southern Africa,Female,30,Farmer,14,80.71,0.004,13,2.11,1,62.0,12.81,1,0.945,3.1,49.0,69.0,3,54.32,4,1
East Africa,Male,22,Farmer,10,25.04,0.803,6,4.35,0,0.0,0.0,0,,,42.0,30.0,3,70.18,12,1
East Africa,Male,30,Trader,16,30.24,-0.65,15,1.74,1,65.0,38.51,0,,,36.0,80.0,5,641.11,4,1
West Africa,Female,42,Informal worker,19,39.55,-0.466,22,2.68,0,1.0,0.0,0,,,53.0,81.0,6,173.34,8,1
East Africa,Female,30,Salaried,16,61.25,-0.485,8,7.36,0,8.0,0.0,1,0.324,5.4,59.0,55.0,4,665.83,4,1
Central Africa,Male,39,Farmer,12,27.08,-0.184,19,4.07,0,12.0,0.0,1,0.364,5.1,21.0,89.0,9,234.07,8,1
West Africa,Female,36,Self-employed,19,15.52,-0.095,15,4.15,0,4.0,0.0,0,,,72.0,74.0,3,136.59,24,1
East Africa,Male,50,Trader,32,181.71,1.158,26,3.73,0,2.0,0.0,0,,,41.0,74.0,10,354.07,8,0
West Africa,Male,37,Salaried,37,36.91,2.049,19,3.06,1,30.0,25.63,1,0.877,2.3,70.0,48.0,12,5558.88,4,1
Southern Africa,Female,24,Informal worker,13,53.16,0.421,9,2.99,1,61.0,17.23,1,0.851,9.2,74.0,69.0,2,108.01,52,1
East Africa,Female,47,Self-employed,16,67.7,0.219,14,2.09,0,3.0,0.0,0,,,34.0,52.0,5,565.13,4,0
East Africa,Male,27,Informal worker,21,40.75,1.312,23,6.3,0,1.0,0.0,1,0.776,13.6,62.0,38.0,5,151.69,4,1
West Africa,Male,32,Farmer,10,28.68,-0.138,15,1.71,0,3.0,0.0,1,0.54,6.2,43.0,60.0,3,59.56,8,0
East Africa,Male,51,Farmer,18,125.77,0.135,13,2.26,0,11.0,0.0,0,,,28.0,50.0,3,280.64,8,1
Central Africa,Female,30,Salaried,15,26.98,0.827,20,12.5,1,53.0,58.01,0,,,81.0,39.0,7,416.27,24,1
East Africa,Female,20,Salaried,8,47.03,-0.194,5,2.37,0,2.0,0.0,1,0.37,52.1,31.0,83.0,2,133.96,4,1
East Africa,Female,34,Informal worker,21,51.33,0.679,15,1.73,0,7.0,0.0,0,,,30.0,50.0,4,359.89,8,1
Southern Africa,Female,36,Informal worker,9,21.45,-1.462,10,2.61,0,17.0,0.0,1,0.525,0.6,49.0,66.0,7,181.04,4,1
East Africa,Male,50,Farmer,17,53.09,0.282,13,2.33,1,75.0,20.74,1,0.967,49.5,64.0,84.0,2,693.98,24,1
East Africa,Male,51,Trader,24,41.4,0.313,13,2.08,1,91.0,27.17,0,,,48.0,75.0,3,391.52,4,1
West Africa,Female,18,Trader,8,37.12,-0.33,8,1.61,0,14.0,0.0,1,0.891,13.3,10.0,78.0,2,324.38,12,1
West Africa,Male,53,Informal worker,12,72.7,0.596,7,4.37,1,71.0,15.39,1,0.753,26.1,21.0,40.0,3,192.39,24,1
Southern Africa,Male,53,Informal worker,13,57.02,0.273,12,2.5,0,3.0,0.0,0,,,76.0,59.0,5,126.76,12,0
Central Africa,Female,26,Informal worker,13,30.9,-0.428,11,2.49,0,0.0,0.0,0,,,52.0,76.0,1,1162.95,4,1
Central Africa,Female,33,Informal worker,9,54.23,-0.173,16,1.15,0,1.0,0.0,0,,,41.0,75.0,5,382.4,12,0
Central Africa,Male,54,Farmer,12,162.69,0.447,12,6.05,0,4.0,0.0,1,0.841,2.2,54.0,36.0,6,330.82,24,0
East Africa,Male,45,Trader,21,28.58,0.195,15,1.69,0,4.0,0.0,0,,,31.0,71.0,4,250.17,12,1
West Africa,Female,33,Trader,9,27.16,-0.525,12,2.1,1,60.0,25.71,0,,,43.0,73.0,3,152.97,8,0
East Africa,Male,53,Trader,6,10.13,-0.317,12,0.7,0,3.0,0.0,1,0.869,1.2,23.0,9.0,6,164.25,8,0
Central Africa,Male,47,Informal worker,17,140.72,0.959,18,3.76,0,6.0,0.0,1,0.909,21.9,74.0,70.0,6,232.48,12,0
Southern Africa,Female,42,Salaried,15,51.63,0.003,17,2.22,1,61.0,18.3,1,0.851,5.6,25.0,75.0,6,157.67,8,0
East Africa,Prefer not to say,18,Self-employed,14,54.43,0.652,16,4.6,1,28.0,26.37,1,0.514,16.3,62.0,74.0,9,167.75,24,1
Southern Africa,Male,48,Trader,29,123.16,2.288,23,4.26,1,53.0,53.13,0,,,48.0,90.0,8,1989.56,4,1
Southern Africa,Male,26,Salaried,12,62.82,-1.476,9,2.66,0,3.0,0.0,0,,,38.0,57.0,3,1022.34,4,0
Central Africa,Male,61,Informal worker,12,34.3,0.23,11,2.07,0,0.0,0.0,0,,,65.0,43.0,4,240.09,52,0
Southern Africa,Male,26,Farmer,24,117.76,-0.348,12,1.88,0,6.0,0.0,1,0.383,0.3,51.0,78.0,6,286.7,12,1
East Africa,Female,19,Informal worker,12,41.15,-0.395,16,4.08,0,5.0,0.0,0,,,33.0,66.0,4,136.69,4,0
West Africa,Female,35,Self-employed,8,11.6,-0.59,4,1.97,1,53.0,10.9,0,,,55.0,31.0,1,124.97,4,1
East Africa,Male,34,Farmer,12,97.71,-0.544,13,11.47,0,2.0,0.0,0,,,17.0,52.0,6,323.59,4,1
West Africa,Female,34,Informal worker,11,37.66,0.319,15,1.12,1,59.0,9.9,0,,,40.0,55.0,4,209.25,4,1
Central Africa,Male,61,Trader,9,16.44,-0.743,6,4.66,0,11.0,0.0,0,,,38.0,48.0,5,419.43,52,1
East Africa,Female,30,Trader,16,8.83,0.648,20,6.24,1,58.0,76.95,0,,,75.0,39.0,6,172.27,12,1
East Africa,Female,57,Trader,31,31.51,1.306,17,3.25,1,52.0,28.06,1,0.78,1.1,57.0,75.0,13,154.56,8,1
West Africa,Male,25,Trader,15,25.57,-1.098,13,3.16,0,19.0,0.0,1,0.656,14.9,42.0,75.0,4,59.54,12,0
East Africa,Male,46,Informal worker,21,65.27,-0.493,18,7.03,1,52.0,16.88,0,,,40.0,95.0,7,226.13,52,1
